rank,platform,name,company,country,countryEn,marketScore,marketTier,fitScore,fitTier,originalPriority,priorityScore,url,state
"1","ins","campmor","Campmor US","美国","United States","4.4","重点","100","A","2","225","https://www.instagram.com/campmor/","opened_in_chrome"
"2","ins","ellisbrigham","Ellis Brigham UK (33K followers, since 1933)","英国","United Kingdom","4.5","重点","100","A","1","224","https://www.instagram.com/ellisbrigham/","pending_manual_development"
"3","ins","worldofcamping","World of Camping UK","英国","United Kingdom","4.5","重点","91","A","4","215","https://www.instagram.com/worldofcamping/","pending_manual_development"
"4","ins","monasheeoutdoors","Monashee Outdoors","加拿大","Canada","3.7","正常","83","A","7","199","https://www.instagram.com/monasheeoutdoors/","pending_manual_development"
"5","ins","otimosoutdoorgear","Otimos UK","英国","United Kingdom","4.5","重点","91","A","3","193","https://www.instagram.com/otimosoutdoorgear/","pending_manual_development"
"6","ins","anacondastores","Anaconda Stores AU (60K followers, verified, largest outdoor retailer)","澳大利亚","Australia","4.8","重点","85","A","5","185","https://www.instagram.com/anacondastores/","pending_manual_development"
"7","ins","mec","MEC Canada","加拿大","Canada","3.7","正常","83","A","6","177","https://www.instagram.com/mec/","pending_manual_development"
"8","ins","camp4wheels","Poland rooftop tent importer","波兰","Poland","3.2","正常","83","A","8","172","https://www.instagram.com/camp4wheels/","pending_manual_development"
"9","ins","triedandtrout","Tried & Trout Supply Co","美国","United States","4.4","重点","73","A","14","169","https://www.instagram.com/triedandtrout/","pending_manual_development"
"10","ins","huntingandfishingnewzealand","Hunting & Fishing NZ (46K followers, verified, NZ outdoor retail)","新西兰","New Zealand","3.9","正常","77","A","9","168","https://www.instagram.com/huntingandfishingnewzealand/","pending_manual_development"
"11","ins","macpac","Macpac NZ/AU (76K followers, verified, outdoor brand)","新西兰","New Zealand","3.9","正常","77","A","11","168","https://www.instagram.com/macpac/","pending_manual_development"
"12","ins","rebelsportnz","Rebel Sport NZ (38K followers, verified, NZ #1 sporting goods retailer)","新西兰","New Zealand","3.9","正常","77","A","12","168","https://www.instagram.com/rebelsportnz/","pending_manual_development"
"13","ins","stoneycreeknz","Stoney Creek NZ (23K followers, NZ outdoor clothing brand)","新西兰","New Zealand","3.9","正常","77","A","13","168","https://www.instagram.com/stoneycreeknz/","pending_manual_development"
"14","ins","kathmandugear","Kathmandu NZ/AU (12.3K followers, verified)","新西兰","New Zealand","3.9","正常","77","A","10","146","https://www.instagram.com/kathmandugear/","pending_manual_development"
"15","ins","kfoutdoor","KF Outdoor Jakarta","印度尼西亚","Indonesia","2.4","正常","65","B","15","141","https://www.instagram.com/kfoutdoor/","pending_manual_development"
"16","ins","prago.outdoors","Prago Outdoors","Unknown","Unknown","0","Unknown","65","B","16","101","https://www.instagram.com/prago.outdoors/","pending_manual_development"
